sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
R336	pot	rhizo	R3	R	s	3	pod	tip	young	NA	tip
R337	pot	rhizo	R3	R	s	3	pod	tap1	young	NA	subtip (taproot)
R338	pot	rhizo	R3	R	s	3	pod	adjtip	young	NA	subtip (lateral)
R339	pot	rhizo	R3	R	s	3	pod	Lat1	woody	NA	lateral1
R34	pot	rhizo	VE.4	V	s	1	post-cotyl	Lat1	young	NA	lateral1
R340	pot	rhizo	R3	R	s	3	pod	subcrown	woody	NA	subcrown
R341	pot	rhizo	R3	R	s	3	pod	below_subcrown	woody	NA	tap2
R343	pot	rhizo	R3	R	s	3	pod	nod	nod	NA	nodule
R344	pot	rhizo	R3	R	s	3	pod	ter	young	NA	tertiary
R35	pot	rhizo	VE.4	V	s	1	post-cotyl	subcrown	young	NA	subcrown
R36	pot	rhizo	VE.4	V	s	1	post-cotyl	below_subcrown	young	NA	tap2
R363	pot	rhizo	R1	R	c	3	bloom	tip	young	NA	tip
R364	pot	rhizo	R1	R	c	3	bloom	tap1	young	NA	subtip (taproot)
R365	pot	rhizo	R1	R	c	3	bloom	adjtip	young	NA	subtip (lateral)
R366	pot	rhizo	R1	R	c	3	bloom	Lat1	woody	NA	lateral1
R367	pot	rhizo	R1	R	c	3	bloom	subcrown	woody	NA	subcrown
R368	pot	rhizo	R1	R	c	3	bloom	below_subcrown	woody	NA	tap2
R37	pot	rhizo	VE.4	V	c	1	post-cotyl	tip	young	NA	tip
R370	pot	rhizo	R1	R	c	3	bloom	nod	nod	NA	nodule
R371	pot	rhizo	R1	R	c	3	bloom	ter	young	NA	tertiary
R372	pot	rhizo	R1	R	c	1	bloom	tip	young	NA	tip
R373	pot	rhizo	R1	R	c	1	bloom	tap1	young	NA	subtip (taproot)
R374	pot	rhizo	R1	R	c	1	bloom	adjtip	young	NA	subtip (lateral)
R375	pot	rhizo	R1	R	c	1	bloom	Lat1	woody	NA	lateral1
R376	pot	rhizo	R1	R	c	1	bloom	subcrown	woody	NA	subcrown
R377	pot	rhizo	R1	R	c	1	bloom	below_subcrown	woody	NA	tap2
R379	pot	rhizo	R1	R	c	1	bloom	nod	nod	NA	nodule
R38	pot	rhizo	VE.4	V	c	1	post-cotyl	tap1	young	NA	subtip (taproot)
R380	pot	rhizo	R1	R	c	1	bloom	ter	young	NA	tertiary
R381	pot	rhizo	R1	R	c	2	bloom	tip	young	NA	tip
R382	pot	rhizo	R1	R	c	2	bloom	tap1	young	NA	subtip (taproot)
R383	pot	rhizo	R1	R	c	2	bloom	adjtip	young	NA	subtip (lateral)
R384	pot	rhizo	R1	R	c	2	bloom	Lat1	woody	NA	lateral1
R385	pot	rhizo	R1	R	c	2	bloom	subcrown	woody	NA	subcrown
R386	pot	rhizo	R1	R	c	2	bloom	below_subcrown	woody	NA	tap2
R388	pot	rhizo	R1	R	c	2	bloom	nod	nod	NA	nodule
R389	pot	rhizo	R1	R	c	2	bloom	ter	young	NA	tertiary
R39	pot	rhizo	VE.4	V	c	1	post-cotyl	adjtip	young	NA	subtip (lateral)
R390	pot	rhizo	R3	R	c	3	pod	tip	young	NA	tip
R391	pot	rhizo	R3	R	c	3	pod	tap1	young	NA	subtip (taproot)
R392	pot	rhizo	R3	R	c	3	pod	adjtip	young	NA	subtip (lateral)
R393	pot	rhizo	R3	R	c	3	pod	Lat1	woody	NA	lateral1
R394	pot	rhizo	R3	R	c	3	pod	subcrown	woody	NA	subcrown
R395	pot	rhizo	R3	R	c	3	pod	below_subcrown	woody	NA	tap2
R397	pot	rhizo	R3	R	c	3	pod	nod	nod	NA	nodule
R398	pot	rhizo	R3	R	c	3	pod	ter	young	NA	tertiary
R399	pot	rhizo	R3	R	c	1	pod	tip	young	NA	tip
R4	pot	rhizo	VE.1	V	s	1	cotyl	t3	young	NA	t3
R40	pot	rhizo	VE.4	V	c	1	post-cotyl	Lat1	young	NA	lateral1
R400	pot	rhizo	R3	R	c	1	pod	tap1	young	NA	subtip (taproot)
R401	pot	rhizo	R3	R	c	1	pod	adjtip	young	NA	subtip (lateral)
R402	pot	rhizo	R3	R	c	1	pod	Lat1	woody	NA	lateral1
R403	pot	rhizo	R3	R	c	1	pod	subcrown	woody	NA	subcrown
R404	pot	rhizo	R3	R	c	1	pod	below_subcrown	woody	NA	tap2
R406	pot	rhizo	R3	R	c	1	pod	nod	nod	NA	nodule
R407	pot	rhizo	R3	R	c	1	pod	ter	young	NA	tertiary
R41	pot	rhizo	VE.4	V	c	1	post-cotyl	subcrown	young	NA	subcrown
R42	pot	rhizo	VE.4	V	c	1	post-cotyl	below_subcrown	young	NA	tap2
R426	pot	rhizo	R3	R	c	2	pod	tip	young	NA	tip
R427	pot	rhizo	R3	R	c	2	pod	tap1	young	NA	subtip (taproot)
R428	pot	rhizo	R3	R	c	2	pod	adjtip	young	NA	subtip (lateral)
R429	pot	rhizo	R3	R	c	2	pod	Lat1	woody	NA	lateral1
R43	pot	rhizo	VE.4	V	s	2	post-cotyl	tip	young	NA	tip
R430	pot	rhizo	R3	R	c	2	pod	subcrown	woody	NA	subcrown
R431	pot	rhizo	R3	R	c	2	pod	below_subcrown	woody	NA	tap2
R433	pot	rhizo	R3	R	c	2	pod	nod	nod	NA	nodule
R434	pot	rhizo	R3	R	c	2	pod	ter	young	NA	tertiary
R44	pot	rhizo	VE.4	V	s	2	post-cotyl	tap1	young	NA	subtip (taproot)
R45	pot	rhizo	VE.4	V	s	2	post-cotyl	adjtip	young	NA	subtip (lateral)
R46	pot	rhizo	VE.4	V	s	2	post-cotyl	Lat1	young	NA	lateral1
R47	pot	rhizo	VE.4	V	s	2	post-cotyl	subcrown	young	NA	subcrown
R48	pot	rhizo	VE.4	V	s	2	post-cotyl	below_subcrown	young	NA	tap2
R49	pot	rhizo	VE.4	V	c	2	post-cotyl	tip	young	NA	tip
R5	pot	rhizo	VE.1	V	s	1	cotyl	t4	young	NA	t4
R50	pot	rhizo	VE.4	V	c	2	post-cotyl	tap1	young	NA	subtip (taproot)
R51	pot	rhizo	VE.4	V	c	2	post-cotyl	adjtip	young	NA	subtip (lateral)
R52	pot	rhizo	VE.4	V	c	2	post-cotyl	Lat1	young	NA	lateral1
R53	pot	rhizo	VE.4	V	c	2	post-cotyl	subcrown	young	NA	subcrown
R54	pot	rhizo	VE.4	V	c	2	post-cotyl	below_subcrown	young	NA	tap2
R55	pot	rhizo	VE.4	V	s	3	post-cotyl	tip	young	NA	tip
R56	pot	rhizo	VE.4	V	s	3	post-cotyl	tap1	young	NA	subtip (taproot)
R57	pot	rhizo	VE.4	V	s	3	post-cotyl	adjtip	young	NA	subtip (lateral)
R58	pot	rhizo	VE.4	V	s	3	post-cotyl	Lat1	young	NA	lateral1
R59	pot	rhizo	VE.4	V	s	3	post-cotyl	subcrown	young	NA	subcrown
R60	pot	rhizo	VE.4	V	s	3	post-cotyl	below_subcrown	young	NA	tap2
R61	pot	rhizo	VE.4	V	c	3	post-cotyl	tip	young	NA	tip
